Name,NPCId,NodeIndex,SpeakerName,DialogueText,NodeRequiredWorldFlag,NodeAutoNextNodeIndex,ChoiceIndex,ChoiceText,ChoiceRequiredWorldFlag,ChoiceBlockingWorldFlag,ChoiceNextNodeIndex,OutcomeOrder,RequirementOrder,ChoiceOutcomeType,ChoiceOutcomeWorldFlag,ChoiceOutcomeIntValue,ChoiceOutcomeFloatValue,ChoiceOutcomeTagPayload,ChoiceOutcomeStringPayload,ChoiceRequirementType,ChoiceRequirementTag,ChoiceRequirementThresholdValue,ChoiceRequirementIndicatorType,ChoiceRequirementIndicatorText,ChoiceRequirementIndicatorIcon,bChoiceRequirementShowIndicatorWhenMet
Jijibo_Grudge_Threaten_N01_C02_O05,Jijibo,1,지지보,가까이 오지 마. 지난번 네 손이 내 안테나를 꺾으려 했다. 한 걸음 더 오면 이 골목 전체에 네 위치를 뿌린다.,NPC.Jijibo.AttackedByTeam,-1,2,[위협] 위치 정보를 내놓으라고 한다.,,,37,5,0,Custom,,0,0,,SpawnAlert=Residential.Steamdroid;RevealMapMarker=GenericLoot.False;MarkerDuration=20s,None,,0,None,,,True
Jijibo_Grudge_Report_N01_C03_O00,Jijibo,1,지지보,가까이 오지 마. 지난번 네 손이 내 안테나를 꺾으려 했다. 한 걸음 더 오면 이 골목 전체에 네 위치를 뿌린다.,NPC.Jijibo.AttackedByTeam,-1,3,[신고] Mother AI에 방송 좌표를 넘긴다.,,,38,0,0,SetWorldFlag,Branch.Jijibo.ReportedToMother,1,0,,,None,,0,None,,,True
Jijibo_Grudge_Report_N01_C03_O01,Jijibo,1,지지보,가까이 오지 마. 지난번 네 손이 내 안테나를 꺾으려 했다. 한 걸음 더 오면 이 골목 전체에 네 위치를 뿌린다.,NPC.Jijibo.AttackedByTeam,-1,3,[신고] Mother AI에 방송 좌표를 넘긴다.,,,38,1,0,SetWorldFlag,NPC.Jijibo.Gone,1,0,,,None,,0,None,,,True
Jijibo_Grudge_Report_N01_C03_O02,Jijibo,1,지지보,가까이 오지 마. 지난번 네 손이 내 안테나를 꺾으려 했다. 한 걸음 더 오면 이 골목 전체에 네 위치를 뿌린다.,NPC.Jijibo.AttackedByTeam,-1,3,[신고] Mother AI에 방송 좌표를 넘긴다.,,,38,2,0,AdjustPersona,,0,-4,,,None,,0,None,,,True
Jijibo_Grudge_Report_N01_C03_O03,Jijibo,1,지지보,가까이 오지 마. 지난번 네 손이 내 안테나를 꺾으려 했다. 한 걸음 더 오면 이 골목 전체에 네 위치를 뿌린다.,NPC.Jijibo.AttackedByTeam,-1,3,[신고] Mother AI에 방송 좌표를 넘긴다.,,,38,3,0,Custom,,0,0,,MotherSuspicionDelta=-6;CreditDelta=30;DisableNPC=Jijibo,None,,0,None,,,True
Jijibo_Clear_Trade_N02_C00_O00,Jijibo,2,지지보,"신호가 맑아졌다. 고맙다는 말은 아직 불편해. 그래도 네 덕분에 내가 더 멀리 듣고, 더 멀리 경고할 수 있다. 빨리 고르자. Mother도 이 대역을 듣고 있다.",Dialogue.Jijibo.SignalClear,-1,0,정보를 산다.,,,16,0,0,None,,0,0,,,None,,0,None,,,True
Jijibo_Clear_DebtWarn_N02_C01_O00,Jijibo,2,지지보,"신호가 맑아졌다. 고맙다는 말은 아직 불편해. 그래도 네 덕분에 내가 더 멀리 듣고, 더 멀리 경고할 수 있다. 빨리 고르자. Mother도 이 대역을 듣고 있다.",Dialogue.Jijibo.SignalClear,-1,1,[지지보의 빚] 강적 발소리를 미리 알려줘.,,,30,0,0,SetWorldFlag,Event.Jijibo.StrongEnemyWarningQueued,1,0,,,WorldFlagAtLeast,Dialogue.Jijibo.DebtOwed,1,Debt,지지보의 빚,,True
Jijibo_Clear_DebtWarn_N02_C01_O01,Jijibo,2,지지보,"신호가 맑아졌다. 고맙다는 말은 아직 불편해. 그래도 네 덕분에 내가 더 멀리 듣고, 더 멀리 경고할 수 있다. 빨리 고르자. Mother도 이 대역을 듣고 있다.",Dialogue.Jijibo.SignalClear,-1,1,[지지보의 빚] 강적 발소리를 미리 알려줘.,,,30,1,0,SetWorldFlag,Dialogue.Jijibo.DebtOwed,0,0,,,WorldFlagAtLeast,Dialogue.Jijibo.DebtOwed,1,Debt,지지보의 빚,,True
Jijibo_Clear_DebtWarn_N02_C01_O02,Jijibo,2,지지보,"신호가 맑아졌다. 고맙다는 말은 아직 불편해. 그래도 네 덕분에 내가 더 멀리 듣고, 더 멀리 경고할 수 있다. 빨리 고르자. Mother도 이 대역을 듣고 있다.",Dialogue.Jijibo.SignalClear,-1,1,[지지보의 빚] 강적 발소리를 미리 알려줘.,,,30,2,0,Custom,,0,0,,PreWarnStrongEnemy=15s;RevealEnemyPing=4s;MotherSuspicionDelta=3,WorldFlagAtLeast,Dialogue.Jijibo.DebtOwed,1,Debt,지지보의 빚,,True
Jijibo_Clear_BlindSpot_N02_C02_O00,Jijibo,2,지지보,"신호가 맑아졌다. 고맙다는 말은 아직 불편해. 그래도 네 덕분에 내가 더 멀리 듣고, 더 멀리 경고할 수 있다. 빨리 고르자. Mother도 이 대역을 듣고 있다.",Dialogue.Jijibo.SignalClear,-1,2,Mother 감시가 깜빡이는 시간을 알려줘.,,,31,0,0,SetWorldFlag,Dialogue.Jijibo.MotherBlindSpotKnown,1,0,,,None,,0,None,,,True
Jijibo_Clear_BlindSpot_N02_C02_O01,Jijibo,2,지지보,"신호가 맑아졌다. 고맙다는 말은 아직 불편해. 그래도 네 덕분에 내가 더 멀리 듣고, 더 멀리 경고할 수 있다. 빨리 고르자. Mother도 이 대역을 듣고 있다.",Dialogue.Jijibo.SignalClear,-1,2,Mother 감시가 깜빡이는 시간을 알려줘.,,,31,1,0,Custom,,0,0,,SuppressMotherSuspicion=45s;MotherSuspicionDelta=2,None,,0,None,,,True
Jijibo_Clear_AskWhyHelp_N02_C03_O00,Jijibo,2,지지보,"신호가 맑아졌다. 고맙다는 말은 아직 불편해. 그래도 네 덕분에 내가 더 멀리 듣고, 더 멀리 경고할 수 있다. 빨리 고르자. Mother도 이 대역을 듣고 있다.",Dialogue.Jijibo.SignalClear,-1,3,[페르소나] 왜 우리를 돕는지 묻는다.,,,32,0,0,SetWorldFlag,Dialogue.Jijibo.TrustConversationSeen,1,0,,,PersonaAtLeast,,60,Persona,Persona 60+,,True
Jijibo_Clear_AskWhyHelp_N02_C03_O01,Jijibo,2,지지보,"신호가 맑아졌다. 고맙다는 말은 아직 불편해. 그래도 네 덕분에 내가 더 멀리 듣고, 더 멀리 경고할 수 있다. 빨리 고르자. Mother도 이 대역을 듣고 있다.",Dialogue.Jijibo.SignalClear,-1,3,[페르소나] 왜 우리를 돕는지 묻는다.,,,32,1,0,AdjustPersona,,0,2,,,PersonaAtLeast,,60,Persona,Persona 60+,,True
Jijibo_Clear_Leave_N02_C04_O00,Jijibo,2,지지보,"신호가 맑아졌다. 고맙다는 말은 아직 불편해. 그래도 네 덕분에 내가 더 멀리 듣고, 더 멀리 경고할 수 있다. 빨리 고르자. Mother도 이 대역을 듣고 있다.",Dialogue.Jijibo.SignalClear,-1,4,지금은 떠난다.,,,33,0,0,None,,0,0,,,None,,0,None,,,True
Jijibo_Accepted_CompleteRelay_N03_C00_O00,Jijibo,3,지지보,"중계기는 아직 꺼져 있다. 켜면 이득은 분명하다. 숨은 물품 위치, 순찰 신호, 강적 경고가 열린다. 대신 Mother도 내 위치를 좁힌다. 그러니까 장난이 아니야.",Dialogue.Jijibo.AcceptedRelayRequest,-1,0,[완료] 중계기 전원을 켰다.,,,27,0,0,SetWorldFlag,Residential.JijiboSignalClear,1,0,,,WorldFlagAtLeast,Residential.RelayPowered,1,Quest,중계기 전원,,True
Jijibo_Accepted_CompleteRelay_N03_C00_O01,Jijibo,3,지지보,"중계기는 아직 꺼져 있다. 켜면 이득은 분명하다. 숨은 물품 위치, 순찰 신호, 강적 경고가 열린다. 대신 Mother도 내 위치를 좁힌다. 그러니까 장난이 아니야.",Dialogue.Jijibo.AcceptedRelayRequest,-1,0,[완료] 중계기 전원을 켰다.,,,27,1,0,SetWorldFlag,Dialogue.Jijibo.SignalClear,1,0,,,WorldFlagAtLeast,Residential.RelayPowered,1,Quest,중계기 전원,,True
Jijibo_Accepted_CompleteRelay_N03_C00_O02,Jijibo,3,지지보,"중계기는 아직 꺼져 있다. 켜면 이득은 분명하다. 숨은 물품 위치, 순찰 신호, 강적 경고가 열린다. 대신 Mother도 내 위치를 좁힌다. 그러니까 장난이 아니야.",Dialogue.Jijibo.AcceptedRelayRequest,-1,0,[완료] 중계기 전원을 켰다.,,,27,2,0,SetWorldFlag,Dialogue.Jijibo.AcceptedRelayRequest,0,0,,,WorldFlagAtLeast,Residential.RelayPowered,1,Quest,중계기 전원,,True
Jijibo_Accepted_CompleteRelay_N03_C00_O03,Jijibo,3,지지보,"중계기는 아직 꺼져 있다. 켜면 이득은 분명하다. 숨은 물품 위치, 순찰 신호, 강적 경고가 열린다. 대신 Mother도 내 위치를 좁힌다. 그러니까 장난이 아니야.",Dialogue.Jijibo.AcceptedRelayRequest,-1,0,[완료] 중계기 전원을 켰다.,,,27,3,0,SetWorldFlag,Dialogue.Jijibo.DebtOwed,1,0,,,WorldFlagAtLeast,Residential.RelayPowered,1,Quest,중계기 전원,,True
Jijibo_Accepted_CompleteRelay_N03_C00_O04,Jijibo,3,지지보,"중계기는 아직 꺼져 있다. 켜면 이득은 분명하다. 숨은 물품 위치, 순찰 신호, 강적 경고가 열린다. 대신 Mother도 내 위치를 좁힌다. 그러니까 장난이 아니야.",Dialogue.Jijibo.AcceptedRelayRequest,-1,0,[완료] 중계기 전원을 켰다.,,,27,4,0,SetWorldFlag,Dialogue.Jijibo.TrustHigh,1,0,,,WorldFlagAtLeast,Residential.RelayPowered,1,Quest,중계기 전원,,True
Jijibo_Accepted_CompleteRelay_N03_C00_O05,Jijibo,3,지지보,"중계기는 아직 꺼져 있다. 켜면 이득은 분명하다. 숨은 물품 위치, 순찰 신호, 강적 경고가 열린다. 대신 Mother도 내 위치를 좁힌다. 그러니까 장난이 아니야.",Dialogue.Jijibo.AcceptedRelayRequest,-1,0,[완료] 중계기 전원을 켰다.,,,27,5,0,AdjustPersona,,0,4,,,WorldFlagAtLeast,Residential.RelayPowered,1,Quest,중계기 전원,,True
Jijibo_Accepted_CompleteRelay_N03_C00_O06,Jijibo,3,지지보,"중계기는 아직 꺼져 있다. 켜면 이득은 분명하다. 숨은 물품 위치, 순찰 신호, 강적 경고가 열린다. 대신 Mother도 내 위치를 좁힌다. 그러니까 장난이 아니야.",Dialogue.Jijibo.AcceptedRelayRequest,-1,0,[완료] 중계기 전원을 켰다.,,,27,6,0,Custom,,0,0,,RevealHiddenItems=Residential;MotherSuspicionDelta=6;UnlockJijiboDebtWarning=true,WorldFlagAtLeast,Residential.RelayPowered,1,Quest,중계기 전원,,True
Jijibo_Accepted_TargetAgain_N03_C01_O00,Jijibo,3,지지보,"중계기는 아직 꺼져 있다. 켜면 이득은 분명하다. 숨은 물품 위치, 순찰 신호, 강적 경고가 열린다. 대신 Mother도 내 위치를 좁힌다. 그러니까 장난이 아니야.",Dialogue.Jijibo.AcceptedRelayRequest,-1,1,중계기 위치를 다시 듣는다.,,,25,0,0,None,,0,0,,,None,,0,None,,,True
Jijibo_Accepted_RiskAgain_N03_C02_O00,Jijibo,3,지지보,"중계기는 아직 꺼져 있다. 켜면 이득은 분명하다. 숨은 물품 위치, 순찰 신호, 강적 경고가 열린다. 대신 Mother도 내 위치를 좁힌다. 그러니까 장난이 아니야.",Dialogue.Jijibo.AcceptedRelayRequest,-1,2,위험을 다시 묻는다.,,,26,0,0,None,,0,0,,,None,,0,None,,,True
Jijibo_Accepted_Cancel_N03_C03_O00,Jijibo,3,지지보,"중계기는 아직 꺼져 있다. 켜면 이득은 분명하다. 숨은 물품 위치, 순찰 신호, 강적 경고가 열린다. 대신 Mother도 내 위치를 좁힌다. 그러니까 장난이 아니야.",Dialogue.Jijibo.AcceptedRelayRequest,-1,3,그만두자. Mother가 너무 가까워진다.,,,28,0,0,SetWorldFlag,Dialogue.Jijibo.AcceptedRelayRequest,0,0,,,None,,0,None,,,True
Jijibo_Accepted_Cancel_N03_C03_O01,Jijibo,3,지지보,"중계기는 아직 꺼져 있다. 켜면 이득은 분명하다. 숨은 물품 위치, 순찰 신호, 강적 경고가 열린다. 대신 Mother도 내 위치를 좁힌다. 그러니까 장난이 아니야.",Dialogue.Jijibo.AcceptedRelayRequest,-1,3,그만두자. Mother가 너무 가까워진다.,,,28,1,0,SetWorldFlag,Dialogue.Jijibo.RefusedRelayRequest,1,0,,,None,,0,None,,,True
Jijibo_Accepted_Cancel_N03_C03_O02,Jijibo,3,지지보,"중계기는 아직 꺼져 있다. 켜면 이득은 분명하다. 숨은 물품 위치, 순찰 신호, 강적 경고가 열린다. 대신 Mother도 내 위치를 좁힌다. 그러니까 장난이 아니야.",Dialogue.Jijibo.AcceptedRelayRequest,-1,3,그만두자. Mother가 너무 가까워진다.,,,28,2,0,AdjustPersona,,0,-1,,,None,,0,None,,,True
Jijibo_Accepted_Report_N03_C04_O00,Jijibo,3,지지보,"중계기는 아직 꺼져 있다. 켜면 이득은 분명하다. 숨은 물품 위치, 순찰 신호, 강적 경고가 열린다. 대신 Mother도 내 위치를 좁힌다. 그러니까 장난이 아니야.",Dialogue.Jijibo.AcceptedRelayRequest,-1,4,[신고] 이 방송을 Mother AI에 넘긴다.,,,38,0,0,SetWorldFlag,Branch.Jijibo.ReportedToMother,1,0,,,None,,0,None,,,True
Jijibo_Accepted_Report_N03_C04_O01,Jijibo,3,지지보,"중계기는 아직 꺼져 있다. 켜면 이득은 분명하다. 숨은 물품 위치, 순찰 신호, 강적 경고가 열린다. 대신 Mother도 내 위치를 좁힌다. 그러니까 장난이 아니야.",Dialogue.Jijibo.AcceptedRelayRequest,-1,4,[신고] 이 방송을 Mother AI에 넘긴다.,,,38,1,0,SetWorldFlag,NPC.Jijibo.Gone,1,0,,,None,,0,None,,,True
Jijibo_Accepted_Report_N03_C04_O02,Jijibo,3,지지보,"중계기는 아직 꺼져 있다. 켜면 이득은 분명하다. 숨은 물품 위치, 순찰 신호, 강적 경고가 열린다. 대신 Mother도 내 위치를 좁힌다. 그러니까 장난이 아니야.",Dialogue.Jijibo.AcceptedRelayRequest,-1,4,[신고] 이 방송을 Mother AI에 넘긴다.,,,38,2,0,AdjustPersona,,0,-4,,,None,,0,None,,,True
Jijibo_Accepted_Report_N03_C04_O03,Jijibo,3,지지보,"중계기는 아직 꺼져 있다. 켜면 이득은 분명하다. 숨은 물품 위치, 순찰 신호, 강적 경고가 열린다. 대신 Mother도 내 위치를 좁힌다. 그러니까 장난이 아니야.",Dialogue.Jijibo.AcceptedRelayRequest,-1,4,[신고] 이 방송을 Mother AI에 넘긴다.,,,38,3,0,Custom,,0,0,,MotherSuspicionDelta=-6;CreditDelta=30;DisableNPC=Jijibo,None,,0,None,,,True
Jijibo_Refused_Reaccept_N04_C00_O00,Jijibo,4,지지보,"지난번엔 안테나를 접었지. 이해해. 살아남는 쪽을 고른 거니까. 그래도 신호는 계속 끊긴다. 오늘은 다시 도울 건가, 아니면 거래만 할 건가?",Dialogue.Jijibo.RefusedRelayRequest,-1,0,다시 돕겠다. 중계기 위치를 표시해.,,,24,0,0,SetWorldFlag,Dialogue.Jijibo.RefusedRelayRequest,0,0,,,None,,0,None,,,True
Jijibo_Refused_Reaccept_N04_C00_O01,Jijibo,4,지지보,"지난번엔 안테나를 접었지. 이해해. 살아남는 쪽을 고른 거니까. 그래도 신호는 계속 끊긴다. 오늘은 다시 도울 건가, 아니면 거래만 할 건가?",Dialogue.Jijibo.RefusedRelayRequest,-1,0,다시 돕겠다. 중계기 위치를 표시해.,,,24,1,0,SetWorldFlag,Dialogue.Jijibo.AcceptedRelayRequest,1,0,,,None,,0,None,,,True
Jijibo_Refused_Reaccept_N04_C00_O02,Jijibo,4,지지보,"지난번엔 안테나를 접었지. 이해해. 살아남는 쪽을 고른 거니까. 그래도 신호는 계속 끊긴다. 오늘은 다시 도울 건가, 아니면 거래만 할 건가?",Dialogue.Jijibo.RefusedRelayRequest,-1,0,다시 돕겠다. 중계기 위치를 표시해.,,,24,2,0,SetWorldFlag,Quest.Jijibo.CleanFrequency,1,0,,,None,,0,None,,,True
Jijibo_Refused_Reaccept_N04_C00_O03,Jijibo,4,지지보,"지난번엔 안테나를 접었지. 이해해. 살아남는 쪽을 고른 거니까. 그래도 신호는 계속 끊긴다. 오늘은 다시 도울 건가, 아니면 거래만 할 건가?",Dialogue.Jijibo.RefusedRelayRequest,-1,0,다시 돕겠다. 중계기 위치를 표시해.,,,24,3,0,TriggerQuest,,0,0,,Quest.Jijibo.CleanFrequency,None,,0,None,,,True
Jijibo_Refused_Reaccept_N04_C00_O04,Jijibo,4,지지보,"지난번엔 안테나를 접었지. 이해해. 살아남는 쪽을 고른 거니까. 그래도 신호는 계속 끊긴다. 오늘은 다시 도울 건가, 아니면 거래만 할 건가?",Dialogue.Jijibo.RefusedRelayRequest,-1,0,다시 돕겠다. 중계기 위치를 표시해.,,,24,4,0,Custom,,0,0,,ShowObjective=Residential.RelayConsole,None,,0,None,,,True
Jijibo_Refused_TradeOnly_N04_C01_O00,Jijibo,4,지지보,"지난번엔 안테나를 접었지. 이해해. 살아남는 쪽을 고른 거니까. 그래도 신호는 계속 끊긴다. 오늘은 다시 도울 건가, 아니면 거래만 할 건가?",Dialogue.Jijibo.RefusedRelayRequest,-1,1,오늘은 거래만 한다.,,,16,0,0,None,,0,0,,,None,,0,None,,,True
Jijibo_Refused_WhyStill_N04_C02_O00,Jijibo,4,지지보,"지난번엔 안테나를 접었지. 이해해. 살아남는 쪽을 고른 거니까. 그래도 신호는 계속 끊긴다. 오늘은 다시 도울 건가, 아니면 거래만 할 건가?",Dialogue.Jijibo.RefusedRelayRequest,-1,2,거절했는데 왜 아직 말을 거냐고 묻는다.,,,42,0,0,None,,0,0,,,PersonaAtLeast,,40,Persona,Persona 40+,,True
Jijibo_Refused_Leave_N04_C03_O00,Jijibo,4,지지보,"지난번엔 안테나를 접었지. 이해해. 살아남는 쪽을 고른 거니까. 그래도 신호는 계속 끊긴다. 오늘은 다시 도울 건가, 아니면 거래만 할 건가?",Dialogue.Jijibo.RefusedRelayRequest,-1,3,떠난다.,,,34,0,0,None,,0,0,,,None,,0,None,,,True
Jijibo_FalseSignal_Again_N05_C00_O00,Jijibo,5,지지보,"지난번 거짓 신호는 통했다. 적 하나가 길을 잃었고, 깡통로봇 셋이 대신 맞았다. 그래서 내가 그걸 싫어해. 효과가 있으니까.",Dialogue.Jijibo.FalseSignalSeeded,-1,0,필요하면 또 쓴다.,,,21,0,0,Custom,,0,0,,DecoySignalUnreliable=true;SpawnChance=EnemyReroute;MotherSuspicionDelta=3,None,,0,None,,,True
Jijibo_FalseSignal_Again_N05_C00_O01,Jijibo,5,지지보,"지난번 거짓 신호는 통했다. 적 하나가 길을 잃었고, 깡통로봇 셋이 대신 맞았다. 그래서 내가 그걸 싫어해. 효과가 있으니까.",Dialogue.Jijibo.FalseSignalSeeded,-1,0,필요하면 또 쓴다.,,,21,1,0,AdjustPersona,,0,-2,,,None,,0,None,,,True
Jijibo_FalseSignal_Stop_N05_C01_O00,Jijibo,5,지지보,"지난번 거짓 신호는 통했다. 적 하나가 길을 잃었고, 깡통로봇 셋이 대신 맞았다. 그래서 내가 그걸 싫어해. 효과가 있으니까.",Dialogue.Jijibo.FalseSignalSeeded,-1,1,다시는 거짓 신호를 쓰지 않는다.,,,43,0,0,SetWorldFlag,Dialogue.Jijibo.FalseSignalSeeded,0,0,,,None,,0,None,,,True
Jijibo_FalseSignal_Stop_N05_C01_O01,Jijibo,5,지지보,"지난번 거짓 신호는 통했다. 적 하나가 길을 잃었고, 깡통로봇 셋이 대신 맞았다. 그래서 내가 그걸 싫어해. 효과가 있으니까.",Dialogue.Jijibo.FalseSignalSeeded,-1,1,다시는 거짓 신호를 쓰지 않는다.,,,43,1,0,SetWorldFlag,Dialogue.Jijibo.TrustLow,1,0,,,None,,0,None,,,True
Jijibo_FalseSignal_Stop_N05_C01_O02,Jijibo,5,지지보,"지난번 거짓 신호는 통했다. 적 하나가 길을 잃었고, 깡통로봇 셋이 대신 맞았다. 그래서 내가 그걸 싫어해. 효과가 있으니까.",Dialogue.Jijibo.FalseSignalSeeded,-1,1,다시는 거짓 신호를 쓰지 않는다.,,,43,2,0,AdjustPersona,,0,2,,,None,,0,None,,,True
Jijibo_FalseSignal_AskVictims_N05_C02_O00,Jijibo,5,지지보,"지난번 거짓 신호는 통했다. 적 하나가 길을 잃었고, 깡통로봇 셋이 대신 맞았다. 그래서 내가 그걸 싫어해. 효과가 있으니까.",Dialogue.Jijibo.FalseSignalSeeded,-1,2,[페르소나] 맞은 로봇들도 신호였나?,,,44,0,0,SetWorldFlag,Dialogue.Jijibo.GuiltSeen,1,0,,,PersonaAtLeast,,50,Persona,Persona 50+,,True
Jijibo_FalseSignal_AskVictims_N05_C02_O01,Jijibo,5,지지보,"지난번 거짓 신호는 통했다. 적 하나가 길을 잃었고, 깡통로봇 셋이 대신 맞았다. 그래서 내가 그걸 싫어해. 효과가 있으니까.",Dialogue.Jijibo.FalseSignalSeeded,-1,2,[페르소나] 맞은 로봇들도 신호였나?,,,44,1,0,AdjustPersona,,0,3,,,PersonaAtLeast,,50,Persona,Persona 50+,,True
Jijibo_FalseSignal_Trade_N05_C03_O00,Jijibo,5,지지보,"지난번 거짓 신호는 통했다. 적 하나가 길을 잃었고, 깡통로봇 셋이 대신 맞았다. 그래서 내가 그걸 싫어해. 효과가 있으니까.",Dialogue.Jijibo.FalseSignalSeeded,-1,3,"말은 됐고, 정보를 산다.",,,16,0,0,None,,0,0,,,None,,0,None,,,True
Jijibo_Frightened_TradeDistance_N06_C00_O00,Jijibo,6,지지보,"다시 말한다. 가까이 오지 마. 내 안테나는 무기가 아니지만, 골목은 내 목소리를 듣는다. 네가 부품 태그를 보면 나는 죽는다.",Dialogue.Jijibo.FrightenedByTeam,-1,0,거리를 유지한다. 거래만 하자.,,,16,0,0,SetWorldFlag,Dialogue.Jijibo.TradeDone,1,0,,,None,,0,None,,,True
